Player_ID,Player Name,Position,Nationality,Age,Height,Year,Versus,Match_Date,Winner,Serve_Points,Serve_Errors,Serve_Attempts,Total_Serves,Set_Successes,Set_Errors,Set_Attempts,Total_Sets,Attack_Success,Attack Errors,Attack_Attempts,Total_Attacks,Block_Successful,Block_Errors,Block_Rebounds,Total_Blocks,Reception_Successful,Reception_Errors,Reception_Attemps,Total_Receptions,Dig_Success,Dig_Errors,Dig_Attempts,Total_Digs
112641.0,Rodrigues Fernanda,OH,Brazil,35.0,179,2021,Serbia,2021-06-06,True,0,1,4,5,0,0,3,3,10,0,9,19,1,1,2,4,4,0,1,5,6,0,0,6
112641.0,Rodrigues Fernanda,OH,Brazil,35.0,179,2021,Belgium,2021-06-07,True,0,2,13,15,0,0,1,1,9,3,10,22,0,2,3,5,7,1,10,18,6,2,1,9
112641.0,Rodrigues Fernanda,OH,Brazil,35.0,179,2021,China,2021-06-08,False,0,1,13,14,0,0,2,2,12,3,20,35,3,7,7,17,9,2,22,33,13,5,1,19
112641.0,Rodrigues Fernanda,OH,Brazil,35.0,179,2021,Poland,2021-06-12,True,0,2,10,12,0,0,5,5,4,3,10,17,2,2,6,10,8,1,15,24,8,4,1,13
112641.0,Rodrigues Fernanda,OH,Brazil,35.0,179,2021,Germany,2021-06-13,True,0,0,21,21,0,0,8,8,8,2,10,20,5,4,5,14,8,2,14,24,15,1,2,18
112641.0,Rodrigues Fernanda,OH,Brazil,35.0,179,2021,Thailand,2021-06-14,True,0,0,6,6,0,1,0,1,9,0,9,18,1,1,0,2,4,0,2,6,4,1,0,5
112641.0,Rodrigues Fernanda,OH,Brazil,35.0,179,2021,Netherlands,2021-06-19,True,0,0,8,8,0,0,1,1,6,2,17,25,0,4,4,8,9,0,12,21,9,3,2,14
112641.0,Rodrigues Fernanda,OH,Brazil,35.0,179,2021,Japan,2021-06-24,True,0,1,10,11,0,0,0,0,12,3,15,30,1,2,1,4,3,0,7,10,10,1,3,14
112641.0,Rodrigues Fernanda,OH,Brazil,35.0,179,2021,USA,2021-06-25,False,0,1,9,10,0,0,0,0,6,4,8,18,0,3,1,4,11,1,21,33,6,3,2,11
173849.0,Menezes Oliveira de Souza Ana Cristina,OH,Brazil,17.0,192,2021,Canada,2021-05-25,True,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
